Treatment,Replicate #,Organism ID,Update Born,Task Count
1,1035,1,-1,0
1,1035,2,25,0
1,1035,17,81,0
1,1035,8582,305,0
1,1035,25286,592,0
1,1035,35024,763,0
1,1035,42602,893,0
1,1035,49452,1010,0
1,1035,64863,1265,0
1,1035,76059,1446,0
1,1035,87459,1614,0
1,1035,90326,1655,1
1,1035,90938,1663,0
1,1035,96487,1741,0
1,1035,97152,1751,1
1,1035,104592,1857,1
1,1035,116677,2031,2
1,1035,126958,2178,2
1,1035,133905,2276,3
1,1035,139017,2348,3
1,1035,142986,2404,3
1,1035,154085,2564,3
1,1035,156352,2597,3
1,1035,166939,2748,3
1,1035,174550,2853,3
1,1035,178893,2914,3
1,1035,192004,3094,3
1,1035,231697,3646,3
1,1035,244419,3823,3
1,1035,245115,3833,3
1,1035,282562,4363,3
1,1035,285057,4398,3
1,1035,298228,4586,4
1,1035,300939,4624,4
1,1035,314370,4823,4
1,1035,317778,4872,4
1,1035,322404,4942,5
1,1035,328538,5033,5
1,1035,333176,5102,5
1,1035,366323,5598,5
1,1035,370644,5662,5
1,1035,386193,5895,5
1,1035,459155,6979,5
1,1035,471276,7158,5
1,1035,480005,7288,5
1,1035,503304,7632,5
1,1035,516215,7820,5
1,1035,524316,7941,5
1,1035,530248,8029,5
1,1035,548837,8304,6
1,1035,606418,9153,6
1,1035,630199,9498,6
1,1035,636255,9585,6
1,1035,641702,9664,6
1,1035,643327,9688,6
1,1035,658234,9903,6
1,1035,674144,10136,6
1,1035,675229,10152,6
1,1035,687473,10329,6
1,1035,688053,10337,6
1,1035,694781,10434,6
1,1035,697048,10467,6
1,1035,699271,10498,7
1,1035,726252,10893,7
1,1035,754720,11303,7
1,1035,769013,11511,7
1,1035,779313,11661,7
1,1035,779776,11668,7
1,1035,780245,11675,7
1,1035,819241,12228,7
1,1035,821900,12265,7
1,1035,844816,12566,7
1,1035,872185,12898,7
1,1035,892282,13134,7
1,1035,944627,13733,7
1,1035,980284,14126,7
1,1035,992015,14253,7
1,1035,1050510,14885,7
1,1035,1066533,15057,7
1,1035,1102716,15448,7
1,1035,1104680,15469,7
1,1035,1194541,16444,7
1,1035,1254716,17078,7
1,1035,1278478,17324,7
1,1035,1287768,17419,7
1,1035,1293400,17477,7
1,1035,1317619,17726,7
1,1035,1354789,18107,7
1,1035,1374662,18312,7
1,1035,1446150,19046,7
1,1035,1485198,19449,7
1,1035,1500600,19606,7
1,1035,1507825,19681,7
1,1035,1514723,19753,7
1,1035,1533789,19948,7
1,1035,1537981,19991,7
1,1035,1604476,20680,7
1,1035,1618082,20818,7
1,1035,1644960,21094,7
1,1035,1650843,21155,7
1,1035,1676847,21422,7
1,1035,1694801,21604,7
1,1035,1734713,22011,7
1,1035,1777460,22451,7
1,1035,1836810,23059,7
1,1035,1871420,23411,7
1,1035,1898404,23687,7
1,1035,1919942,23907,7
1,1035,1944743,24163,7
1,1035,1974240,24463,7
1,1035,1989571,24621,7
1,1035,2048823,25231,7
1,1035,2069674,25445,7
1,1035,2080992,25560,7
1,1035,2087157,25623,7
1,1035,2096981,25725,7
1,1035,2174639,26522,7
1,1035,2196829,26750,7
1,1035,2218554,26973,7
1,1035,2225358,27042,7
1,1035,2251205,27307,7
1,1035,2274468,27546,7
1,1035,2289476,27701,7
1,1035,2322055,28031,7
1,1035,2351278,28331,7
1,1035,2359942,28420,7
1,1035,2375235,28575,7
1,1035,2433041,29172,7
1,1035,2441678,29261,7
1,1035,2446762,29313,7
1,1035,2466468,29518,7
1,1035,2467760,29531,7
1,1035,2468460,29538,7
1,1035,2508056,29945,7
1,1035,2528210,30154,7
1,1035,2575920,30645,7
1,1035,2580254,30689,7
1,1035,2592172,30810,7
1,1035,2600707,30898,7
1,1035,2627811,31175,7
1,1035,2633230,31232,7
1,1035,2658017,31487,7
1,1035,2682125,31739,7
1,1035,2696072,31883,7
1,1035,2701057,31935,7
1,1035,2705827,31985,7
1,1035,2706396,31992,7
1,1035,2770594,32654,7
1,1035,2812532,33089,7
1,1035,2831308,33283,7
1,1035,2838860,33362,7
1,1035,2848118,33457,7
1,1035,2855434,33533,7
1,1035,2897756,33973,7
1,1035,2905181,34051,7
1,1035,2920281,34206,7
1,1035,2968715,34707,7
1,1035,2971767,34739,7
1,1035,3081951,35878,7
1,1035,3115962,36229,7
1,1035,3149818,36578,7
1,1035,3207155,37171,7
1,1035,3246603,37580,7
1,1035,3248544,37600,7
1,1035,3257165,37689,7
1,1035,3261475,37733,7
1,1035,3279736,37921,7
1,1035,3281671,37940,7
1,1035,3282941,37954,7
1,1035,3283599,37961,7
1,1035,3314923,38286,7
1,1035,3324471,38383,7
1,1035,3362993,38779,7
1,1035,3387819,39037,7
1,1035,3410370,39269,7
1,1035,3455230,39732,7
1,1035,3463741,39820,7
1,1035,3489238,40082,7
1,1035,3491135,40101,7
1,1035,3508183,40275,7
1,1035,3515532,40351,7
1,1035,3539080,40593,7
1,1035,3557802,40789,7
1,1035,3563106,40843,7
1,1035,3563700,40849,7
1,1035,3601679,41245,7
1,1035,3603406,41263,7
1,1035,3628398,41521,7
1,1035,3667923,41932,7
1,1035,3670328,41958,7
1,1035,3672806,41984,7
1,1035,3686726,42127,7
1,1035,3690973,42171,7
1,1035,3773715,43031,7
1,1035,3780105,43096,7
1,1035,3796187,43264,7
1,1035,3800018,43303,7
1,1035,3801959,43323,7
1,1035,3806559,43371,7
1,1035,3810987,43416,7
1,1035,3818541,43495,7
1,1035,3826694,43579,7
1,1035,3830960,43622,7
1,1035,3874171,44072,7
1,1035,3891686,44254,7
1,1035,3915809,44505,7
1,1035,3926641,44618,7
1,1035,3945061,44807,7
1,1035,3955872,44918,7
1,1035,3963722,44998,7
1,1035,4019946,45581,7
1,1035,4033346,45718,7
1,1035,4052239,45913,7
1,1035,4093329,46339,7
1,1035,4111137,46524,7
1,1035,4211286,47557,7
1,1035,4221697,47663,7
1,1035,4306371,48538,7
1,1035,4313470,48611,7
1,1035,4314638,48623,7
1,1035,4318347,48661,7
1,1035,4322868,48708,7
1,1035,4324125,48720,7
1,1035,4337558,48857,7
1,1035,4346391,48947,7
1,1035,4357192,49058,7
1,1035,4373603,49224,7
1,1035,4381090,49301,7
1,1035,4388051,49371,7
1,1035,4398042,49472,7
1,1035,4418674,49683,7
1,1035,4452807,50032,7
1,1035,4473587,50244,7
1,1035,4492847,50440,7
1,1035,4506860,50584,7
1,1035,4557835,51102,7
1,1035,4566083,51187,7
1,1035,4588165,51416,7
1,1035,4592054,51455,7
1,1035,4612275,51662,7
1,1035,4612841,51668,7
1,1035,4620387,51745,7
1,1035,4624953,51791,7
1,1035,4630906,51851,7
1,1035,4651936,52064,7
1,1035,4668295,52231,7
1,1035,4678954,52341,7
1,1035,4692772,52484,7
1,1035,4725240,52816,7
1,1035,4750906,53082,7
1,1035,4792777,53510,7
1,1035,4801323,53597,7
1,1035,4807586,53661,7
1,1035,4855532,54151,7
1,1035,4938438,54999,7
1,1035,4955014,55167,7
1,1035,4959527,55213,7
1,1035,4961549,55234,7
1,1035,4980611,55429,7
1,1035,5022483,55855,7
1,1035,5075174,56396,7
1,1035,5100442,56656,7
1,1035,5106105,56714,7
1,1035,5119335,56849,7
1,1035,5138478,57045,7
1,1035,5176845,57435,7
1,1035,5179434,57462,7
1,1035,5202650,57698,7
1,1035,5265148,58339,7
1,1035,5282325,58513,7
1,1035,5284651,58537,7
1,1035,5311238,58811,7
1,1035,5322442,58927,7
1,1035,5323140,58934,7
1,1035,5370217,59417,7
1,1035,5374521,59461,7
1,1035,5385860,59577,7
1,1035,5387703,59596,7
1,1035,5392041,59640,7
1,1035,5397029,59692,7
1,1035,5398163,59704,7
1,1035,5402604,59750,7
1,1035,5403245,59756,7
1,1035,5404415,59768,7
1,1035,5416893,59896,7
1,1035,5431040,60040,7
1,1035,5477469,60517,7
1,1035,5479332,60536,7
1,1035,5480706,60550,7
1,1035,5515828,60911,7
1,1035,5585657,61629,7
1,1035,5625500,62036,7
1,1035,5645421,62240,7
1,1035,5657993,62366,7
1,1035,5666591,62455,7
1,1035,5725555,63054,7
1,1035,5729387,63093,7
1,1035,5751789,63321,7
1,1035,5857266,64387,7
1,1035,5897104,64789,7
1,1035,5912411,64944,7
1,1035,5948136,65307,7
1,1035,5982509,65654,7
1,1035,5985097,65681,7
1,1035,5991418,65745,7
1,1035,6096264,66792,7
1,1035,6171314,67544,7
1,1035,6183667,67667,7
1,1035,6194045,67771,7
1,1035,6199771,67828,7
1,1035,6234533,68175,7
1,1035,6237733,68207,7
1,1035,6239666,68227,7
1,1035,6284443,68677,7
1,1035,6302197,68854,7
1,1035,6331683,69153,7
1,1035,6402491,69864,7
1,1035,6471955,70559,7
1,1035,6537400,71211,7
1,1035,6556887,71405,7
1,1035,6557546,71411,7
1,1035,6569172,71527,7
1,1035,6590009,71735,7
1,1035,6591929,71755,7
1,1035,6601259,71848,7
1,1035,6610806,71945,7
1,1035,6617123,72007,7
1,1035,6667746,72515,7
1,1035,6681336,72650,7
1,1035,6683307,72669,7
1,1035,6697702,72812,7
1,1035,6725842,73091,7
1,1035,6783717,73671,7
1,1035,6786226,73696,7
1,1035,6795993,73794,7
1,1035,6847917,74315,7
1,1035,6879727,74631,7
1,1035,6899505,74826,7
1,1035,6920871,75038,7
1,1035,6938879,75218,7
1,1035,6970104,75529,7
1,1035,6984927,75677,7
1,1035,6995560,75782,7
1,1035,6998208,75808,7
1,1035,7000178,75827,7
1,1035,7051248,76339,7
1,1035,7114033,76966,7
1,1035,7119725,77023,7
1,1035,7170723,77531,7
1,1035,7175546,77578,7
1,1035,7202126,77837,7
1,1035,7211178,77927,7
1,1035,7214439,77959,7
1,1035,7225004,78062,7
1,1035,7244475,78254,7
1,1035,7266234,78467,7
1,1035,7292571,78727,7
1,1035,7303893,78838,7
1,1035,7307128,78870,7
1,1035,7358262,79376,7
1,1035,7399794,79783,7
1,1035,7408976,79874,7
1,1035,7417817,79962,7
1,1035,7441844,80203,7
1,1035,7463281,80418,7
1,1035,7473710,80523,7
1,1035,7495990,80749,7
1,1035,7508683,80879,7
1,1035,7519537,80990,7
1,1035,7553766,81340,7
1,1035,7574037,81546,7
1,1035,7583023,81637,7
1,1035,7586762,81676,7
1,1035,7641594,82236,7
1,1035,7645368,82275,7
1,1035,7658685,82411,7
1,1035,7662563,82450,7
1,1035,7748236,83331,7
1,1035,7755732,83407,7
1,1035,7809712,83960,7
1,1035,7818055,84046,7
1,1035,7826409,84133,7
1,1035,7835168,84225,7
1,1035,7887874,84769,7
1,1035,7900745,84900,7
1,1035,7902041,84913,7
1,1035,7907885,84972,7
1,1035,7922849,85127,7
1,1035,7935460,85257,7
1,1035,7962023,85531,7
1,1035,7966894,85582,7
1,1035,7985379,85772,7
1,1035,7992898,85850,7
1,1035,7998159,85905,7
1,1035,8015469,86083,7
1,1035,8022515,86155,7
1,1035,8049298,86433,7
1,1035,8091191,86864,7
1,1035,8110847,87069,7
1,1035,8147024,87442,7
1,1035,8149038,87462,7
1,1035,8166495,87641,7
1,1035,8184048,87821,7
1,1035,8201635,88000,7
1,1035,8211882,88105,7
1,1035,8215166,88139,7
1,1035,8217179,88159,7
1,1035,8298830,88999,7
1,1035,8310524,89120,7
1,1035,8314452,89160,7
1,1035,8386037,89893,7
1,1035,8393894,89974,7
1,1035,8425244,90296,7
1,1035,8437138,90418,7
1,1035,8441695,90465,7
1,1035,8457848,90629,7
1,1035,8467117,90725,7
1,1035,8467671,90731,7
1,1035,8478202,90838,7
1,1035,8481319,90870,7
1,1035,8483310,90890,7
1,1035,8499914,91058,7
1,1035,8509648,91158,7
1,1035,8547849,91550,7
1,1035,8558536,91660,7
1,1035,8561920,91695,7
1,1035,8564713,91722,7
1,1035,8579173,91871,7
1,1035,8585994,91940,7
1,1035,8604343,92129,7
1,1035,8632348,92417,7
1,1035,8638780,92483,7
1,1035,8649853,92596,7
1,1035,8650465,92603,7
1,1035,8654349,92642,7
1,1035,8669326,92796,7
1,1035,8686950,92974,7
1,1035,8692559,93032,7
1,1035,8713480,93248,7
1,1035,8716037,93274,7
1,1035,8744846,93569,7
1,1035,8754003,93662,7
1,1035,8756674,93690,7
1,1035,8765595,93781,7
1,1035,8767469,93800,7
1,1035,8796374,94098,7
1,1035,8802281,94159,7
1,1035,8812666,94266,7
1,1035,8877207,94933,7
1,1035,8911724,95291,7
1,1035,8951364,95702,7
1,1035,8978761,95985,7
1,1035,8986005,96058,7
1,1035,8990958,96110,7
1,1035,9009887,96305,7
1,1035,9045185,96671,7
1,1035,9053662,96759,7
1,1035,9055461,96778,7
1,1035,9072367,96953,7
1,1035,9114558,97392,7
1,1035,9124298,97493,7
1,1035,9167520,97945,7
1,1035,9187611,98154,7
1,1035,9197357,98255,7
1,1035,9266266,98971,7
1,1035,9303497,99355,7
1,1035,9328163,99609,7
1,1035,9343870,99772,7
1,1035,9353649,99872,7
1,1035,9360599,99944,7
1,1035,9363115,99970,7
1,1035,9364900,99988,7
1,1035,9369391,100035,7
1,1035,9378605,100130,7
1,1035,9381166,100156,7
1,1035,9452733,100891,7
1,1035,9456150,100926,7
1,1035,9464369,101009,7
1,1035,9472847,101097,7
1,1035,9552360,101910,7
1,1035,9591647,102312,7
1,1035,9595541,102352,7
1,1035,9608621,102485,7
1,1035,9620925,102609,7
1,1035,9628551,102686,7
1,1035,9659464,103003,7
1,1035,9668192,103092,7
1,1035,9670079,103112,7
1,1035,9682713,103241,7
1,1035,9720563,103630,7
1,1035,9737959,103811,7
1,1035,9753513,103971,7
1,1035,9763644,104074,7
1,1035,9774197,104183,7
1,1035,9843083,104888,7
1,1035,9849966,104959,7
1,1035,9852074,104980,7
1,1035,9852788,104988,7
1,1035,9858640,105048,7
1,1035,9873560,105200,7
1,1035,9905574,105525,7
1,1035,9926832,105741,7
1,1035,9930240,105775,7
1,1035,9935453,105828,7
1,1035,9945015,105926,7
1,1035,9950618,105984,7
1,1035,9958503,106064,7
1,1035,9973883,106221,7
1,1035,9998488,106470,7
1,1035,10023703,106725,7
1,1035,10026844,106757,7
1,1035,10031461,106804,7
1,1035,10090649,107407,7
1,1035,10094468,107447,7
1,1035,10122628,107733,7
1,1035,10124662,107753,7
1,1035,10141162,107920,7
1,1035,10141921,107928,7
1,1035,10162979,108141,7
1,1035,10189435,108409,7
1,1035,10215521,108672,7
1,1035,10217423,108691,7
1,1035,10225581,108774,7
1,1035,10230062,108819,7
1,1035,10231372,108832,7
1,1035,10235247,108872,7
1,1035,10239089,108911,7
1,1035,10265378,109180,7
1,1035,10271031,109237,7
1,1035,10292681,109457,7
1,1035,10335090,109888,7
1,1035,10356426,110107,7
1,1035,10362907,110173,7
1,1035,10387447,110425,7
1,1035,10399687,110550,7
1,1035,10414738,110703,7
1,1035,10423719,110795,7
1,1035,10435933,110919,7
1,1035,10450358,111067,7
1,1035,10490909,111481,7
1,1035,10496851,111540,7
1,1035,10508341,111658,7
1,1035,10522228,111798,7
1,1035,10549526,112074,7
1,1035,10601471,112601,7
1,1035,10607814,112666,7
1,1035,10641036,113001,7
1,1035,10646219,113053,7
1,1035,10665223,113245,7
1,1035,10746313,114072,7
1,1035,10811542,114735,7
1,1035,10817378,114795,7
1,1035,10867053,115299,7
1,1035,10889818,115532,7
1,1035,10904859,115683,7
1,1035,10929148,115930,7
1,1035,10943123,116074,7
1,1035,10964260,116291,7
1,1035,10973176,116383,7
1,1035,10975589,116408,7
1,1035,10989410,116548,7
1,1035,10991796,116573,7
1,1035,11026676,116928,7
1,1035,11050711,117176,7
1,1035,11102602,117705,7
1,1035,11114928,117829,7
1,1035,11174063,118427,7
1,1035,11189954,118588,7
1,1035,11190590,118595,7
1,1035,11212755,118822,7
1,1035,11238246,119084,7
1,1035,11242056,119123,7
1,1035,11254817,119253,7
1,1035,11255468,119260,7
1,1035,11265919,119366,7
1,1035,11341009,120132,7
1,1035,11345620,120180,7
1,1035,11357381,120299,7
1,1035,11358017,120306,7
1,1035,11406148,120798,7
1,1035,11412672,120864,7
1,1035,11454466,121287,7
1,1035,11462958,121373,7
1,1035,11474826,121494,7
1,1035,11527594,122035,7
1,1035,11528956,122048,7
1,1035,11574770,122516,7
1,1035,11589904,122670,7
1,1035,11616550,122942,7
1,1035,11641175,123194,7
1,1035,11647047,123254,7
1,1035,11657931,123365,7
1,1035,11658552,123371,7
1,1035,11666896,123456,7
1,1035,11682685,123618,7
1,1035,11698426,123778,7
1,1035,11734864,124148,7
1,1035,11751835,124320,7
1,1035,11754459,124346,7
1,1035,11758953,124392,7
1,1035,11800389,124816,7
1,1035,11813484,124949,7
1,1035,11817932,124995,7
1,1035,11826515,125084,7
1,1035,11833689,125157,7
1,1035,11835590,125176,7
1,1035,11845992,125282,7
1,1035,11850657,125329,7
1,1035,11879563,125626,7
1,1035,11900535,125839,7
1,1035,11908534,125921,7
1,1035,11957929,126419,7
1,1035,11967861,126520,7
1,1035,11994161,126784,7
1,1035,12000688,126850,7
1,1035,12005137,126895,7
1,1035,12016483,127011,7
1,1035,12033250,127180,7
1,1035,12042037,127269,7
1,1035,12064023,127496,7
1,1035,12078017,127639,7
1,1035,12086426,127725,7
1,1035,12087137,127732,7
1,1035,12126038,128126,7
1,1035,12142848,128299,7
1,1035,12144954,128321,7
1,1035,12211082,128986,7
1,1035,12225496,129131,7
1,1035,12248540,129364,7
1,1035,12249250,129371,7
1,1035,12268593,129569,7
1,1035,12312697,130013,7
1,1035,12319278,130079,7
1,1035,12322633,130113,7
1,1035,12335529,130244,7
1,1035,12374573,130639,7
1,1035,12391496,130811,7
1,1035,12401850,130916,7
1,1035,12411048,131009,7
1,1035,12425992,131160,7
1,1035,12436967,131271,7
1,1035,12437662,131278,7
1,1035,12456788,131473,7
1,1035,12459403,131499,7
1,1035,12469890,131606,7
1,1035,12475248,131660,7
1,1035,12494524,131858,7
1,1035,12514110,132057,7
1,1035,12553350,132460,7
1,1035,12579160,132721,7
1,1035,12603036,132962,7
1,1035,12614329,133077,7
1,1035,12620280,133137,7
1,1035,12646972,133409,7
1,1035,12656394,133507,7
1,1035,12684869,133800,7
1,1035,12694676,133899,7
1,1035,12708059,134035,7
1,1035,12755822,134519,7
1,1035,12765499,134616,7
1,1035,12793347,134899,7
1,1035,12802440,134992,7
1,1035,12807026,135039,7
1,1035,12833221,135304,7
1,1035,12834563,135317,7
1,1035,12845652,135429,7
1,1035,12889501,135874,7
1,1035,12904835,136031,7
1,1035,12977908,136775,7
1,1035,12995954,136959,7
1,1035,13008402,137087,7
1,1035,13016941,137174,7
1,1035,13027574,137281,7
1,1035,13051738,137527,7
1,1035,13078288,137796,7
1,1035,13092307,137939,7
1,1035,13105271,138071,7
1,1035,13118212,138203,7
1,1035,13133840,138363,7
1,1035,13162995,138660,7
1,1035,13169722,138729,7
1,1035,13185327,138888,7
1,1035,13216846,139207,7
1,1035,13265233,139696,7
1,1035,13270350,139748,7
1,1035,13289066,139937,7
1,1035,13324554,140292,7
1,1035,13329059,140338,7
1,1035,13338922,140435,7
1,1035,13343503,140482,7
1,1035,13383236,140872,7
1,1035,13394658,140984,7
1,1035,13414305,141179,7
1,1035,13415569,141192,7
1,1035,13469219,141714,7
1,1035,13475206,141772,7
1,1035,13492693,141940,7
1,1035,13496793,141979,7
1,1035,13501366,142023,7
1,1035,13538969,142382,7
1,1035,13540826,142400,7
1,1035,13542149,142413,7
1,1035,13561511,142600,7
1,1035,13562944,142613,7
1,1035,13570507,142685,7
1,1035,13611293,143075,7
1,1035,13615424,143114,7
1,1035,13616080,143120,7
1,1035,13622747,143184,7
1,1035,13662193,143562,7
1,1035,13665432,143594,7
1,1035,13687449,143805,7
1,1035,13694164,143869,7
1,1035,13701621,143941,7
1,1035,13705384,143978,7
1,1035,13710783,144029,7
1,1035,13721369,144131,7
1,1035,13735161,144262,7
1,1035,13766194,144559,7
1,1035,13852835,145390,7
1,1035,13854965,145409,7
1,1035,13884562,145689,7
1,1035,13899997,145835,7
1,1035,13918316,146008,7
1,1035,13921794,146041,7
1,1035,13928317,146101,7
1,1035,13936904,146182,7
1,1035,13969918,146493,7
1,1035,13989845,146682,7
1,1035,14003389,146808,7
1,1035,14066372,147396,7
1,1035,14071167,147440,8
1,1035,14100128,147707,8
1,1035,14115285,147845,8
1,1035,14165533,148299,8
1,1035,14200582,148620,8
1,1035,14209645,148704,8
1,1035,14267505,149242,8
1,1035,14278964,149348,8
1,1035,14379059,150282,8
1,1035,14530912,151713,8
1,1035,14531556,151719,8
1,1035,14576895,152165,8
1,1035,14635873,152745,8
1,1035,14652045,152905,8
1,1035,14675814,153140,8
1,1035,14681405,153196,8
1,1035,14690037,153282,8
1,1035,14712144,153502,8
1,1035,14751762,153893,8
1,1035,14776251,154135,8
1,1035,14797586,154347,8
1,1035,14841093,154778,8
1,1035,14856135,154927,8
1,1035,14856744,154933,8
1,1035,14890888,155275,8
1,1035,14895898,155324,8
1,1035,14910853,155475,8
1,1035,14913322,155500,8
1,1035,14915971,155527,8
1,1035,14937611,155742,8
1,1035,14940814,155774,8
1,1035,14945104,155818,8
1,1035,14958366,155951,8
1,1035,15002076,156388,8
1,1035,15099639,157374,8
1,1035,15101587,157393,8
1,1035,15104771,157425,8
1,1035,15119108,157569,8
1,1035,15120363,157582,8
1,1035,15137192,157753,8
1,1035,15151012,157892,8
1,1035,15155816,157942,8
1,1035,15158906,157973,8
1,1035,15170469,158091,8
1,1035,15174890,158137,8
1,1035,15177478,158162,8
1,1035,15191588,158306,8
1,1035,15201041,158402,8
1,1035,15236947,158768,8
1,1035,15260405,159003,8
1,1035,15274083,159142,8
1,1035,15282647,159228,8
1,1035,15298337,159388,8
1,1035,15339072,159801,8
1,1035,15340880,159819,8
1,1035,15352248,159935,8
1,1035,15417533,160595,8
1,1035,15436920,160790,8
1,1035,15465950,161083,8
1,1035,15476210,161186,8
1,1035,15483231,161258,8
1,1035,15488733,161314,8
1,1035,15495769,161386,8
1,1035,15594911,162382,8
1,1035,15601065,162443,8
1,1035,15632078,162757,8
1,1035,15665014,163088,8
1,1035,15743343,163872,8
1,1035,15809384,164533,8
1,1035,15822200,164662,8
1,1035,15863597,165080,8
1,1035,15877865,165225,8
1,1035,15895938,165406,8
1,1035,15931668,165762,8
1,1035,15954397,165986,8
1,1035,15956320,166005,8
1,1035,15970039,166142,8
1,1035,15996675,166407,8
1,1035,16014330,166583,8
1,1035,16031421,166753,8
1,1035,16034555,166785,8
1,1035,16043002,166868,8
1,1035,16048933,166927,8
1,1035,16050832,166946,8
1,1035,16064966,167086,8
1,1035,16111760,167550,8
1,1035,16114942,167581,8
1,1035,16127249,167704,8
1,1035,16165760,168085,8
1,1035,16175129,168178,8
1,1035,16252849,168956,8
1,1035,16254732,168974,8
1,1035,16269104,169120,8
1,1035,16281617,169245,8
1,1035,16286249,169291,8
1,1035,16292941,169358,8
1,1035,16417688,170606,8
1,1035,16419699,170626,8
1,1035,16421517,170644,8
1,1035,16423422,170663,8
1,1035,16429187,170721,8
1,1035,16433586,170764,8
1,1035,16437245,170801,8
1,1035,16456662,170998,8
1,1035,16511192,171548,8
1,1035,16513690,171573,8
1,1035,16523075,171668,8
1,1035,16547841,171915,8
1,1035,16592962,172369,8
1,1035,16618543,172626,8
1,1035,16638520,172827,8
1,1035,16649722,172939,8
1,1035,16660270,173046,8
1,1035,16660918,173052,8
1,1035,16678424,173229,8
1,1035,16686731,173312,8
1,1035,16703486,173480,8
1,1035,16772875,174182,8
1,1035,16795779,174415,8
1,1035,16796386,174421,8
1,1035,16869681,175164,8
1,1035,16881653,175285,8
1,1035,16973063,176209,8
1,1035,16987984,176358,8
1,1035,16998492,176464,8
1,1035,17065777,177141,8
1,1035,17099582,177478,8
1,1035,17109318,177575,8
1,1035,17149321,177976,8
1,1035,17185388,178335,8
1,1035,17196478,178446,8
1,1035,17199160,178472,8
1,1035,17246442,178939,8
1,1035,17256421,179038,8
1,1035,17262895,179102,8
1,1035,17417920,180659,8
1,1035,17469214,181171,8
1,1035,17476182,181242,8
1,1035,17489178,181372,8
1,1035,17491847,181399,8
1,1035,17506932,181549,8
1,1035,17549242,181975,8
1,1035,17604609,182529,8
1,1035,17609060,182574,8
1,1035,17614761,182631,8
1,1035,17663457,183121,8
1,1035,17679548,183284,8
1,1035,17720254,183693,8
1,1035,17733881,183829,8
1,1035,17764263,184133,8
1,1035,17770790,184197,8
1,1035,17774422,184234,8
1,1035,17790499,184396,8
1,1035,17828336,184776,8
1,1035,17916518,185662,8
1,1035,17935877,185855,8
1,1035,17946110,185957,8
1,1035,17990565,186401,8
1,1035,17996244,186458,8
1,1035,18020695,186701,8
1,1035,18022593,186720,8
1,1035,18026401,186759,8
1,1035,18028886,186784,8
1,1035,18126946,187755,8
1,1035,18134451,187832,8
1,1035,18135672,187844,8
1,1035,18136266,187850,8
1,1035,18165564,188143,8
1,1035,18228160,188768,8
1,1035,18246325,188948,8
1,1035,18250800,188991,8
1,1035,18271851,189201,8
1,1035,18282431,189306,8
1,1035,18310336,189582,8
1,1035,18318599,189663,8
1,1035,18324979,189726,8
1,1035,18338566,189862,8
1,1035,18373665,190215,8
1,1035,18377532,190254,8
1,1035,18392622,190406,8
1,1035,18400945,190489,8
1,1035,18417790,190657,8
1,1035,18423325,190712,8
1,1035,18484949,191332,8
1,1035,18519476,191678,8
1,1035,18528594,191770,8
1,1035,18543929,191926,8
1,1035,18576359,192253,8
1,1035,18602296,192515,8
1,1035,18623699,192730,8
1,1035,18650179,192998,8
1,1035,18673191,193228,8
1,1035,18689237,193391,8
1,1035,18690532,193404,8
1,1035,18692588,193425,8
1,1035,18737017,193875,8
1,1035,18746616,193971,8
1,1035,18754366,194048,8
1,1035,18767215,194179,8
1,1035,18782114,194331,8
1,1035,18802470,194535,8
1,1035,18811977,194630,8
1,1035,18836568,194880,8
1,1035,18876558,195286,8
1,1035,18899072,195513,8
1,1035,18964161,196171,8
1,1035,18969323,196223,8
1,1035,19022713,196759,8
1,1035,19040819,196941,8
1,1035,19057445,197110,8
1,1035,19091975,197455,8
1,1035,19121597,197753,8
1,1035,19123444,197772,8
1,1035,19136170,197900,8
1,1035,19154477,198085,8
1,1035,19164171,198183,8
1,1035,19184998,198393,8
1,1035,19191974,198465,8
1,1035,19202688,198574,8
1,1035,19222071,198771,8
1,1035,19272845,199282,8
1,1035,19275968,199314,8
1,1035,19285267,199408,8
1,1035,19311249,199672,8
1,1035,19313260,199692,8
